"","mean_all","mean_threshold: 4","mean_threshold: 5","mean_threshold: 6"
"SAP30",-0.531266282343066,-0.556769822132966,-0.556322041223842,-0.568067800482022
"SIN3A",0.4294572747562,0.282023610253682,0.27093666468191,0.273726426441862
"SIX5",-0.947806782641251,-0.925676476750941,-0.910712691104187,-0.917701132671369
"SMAD1",-0.94840823178669,-0.929516367088501,-0.92557924549943,-0.930062470013112
"SMAD2",-0.539499147526401,-0.57157217829658,-0.578317030121348,-0.577703922788083
"SMAD3",-0.689899912470521,-0.702401643417046,-0.700329890404999,-0.691792809955505
"SMAD4",-0.478500423403069,-0.551623545516554,-0.548387389357603,-0.545763470828531
"SMARCA4",1.44285271050185,1.24619967582848,1.24030594951776,1.24104707628619
"SMC1A",-0.310995023404669,-0.439991982269612,-0.421563317786847,-0.400482952377292
"SMC3",0.0905501514864541,-0.100529338705388,-0.0856918163130424,-0.0570415455736569
"SOX2",-0.490998857619429,-0.574404548230459,-0.549376770857906,-0.559719802993776
"SP1",0.950387572526603,0.81608102265557,0.803001763324145,0.801776175353222
"SP2",-0.9655592687726,-0.953973248654211,-0.93994883374421,-0.937821262679672
"SP4",0.372171956283627,0.218617414543554,0.210221908608269,0.224242132899379
"SRF",1.17241739295414,0.955701006108942,0.973763469836641,0.98687096781787
"SSU72",0.495301722396151,0.341401905123346,0.341779719515556,0.349371988608959
"SUZ12",-0.910973494465764,-0.912576485821656,-0.9086497221741,-0.902452934412834
"TAF1",-0.484922333330837,-0.508215136817141,-0.512969431148375,-0.513778870762746
"TAF7",0.0867327957694241,-0.00649467221625995,-0.0202095572425294,-0.0200970817082297
"TAFII",-0.810342129422433,-0.829972204038921,-0.823695051852039,-0.826218955717972
"TAL1",-0.90774592952183,-0.889780677187551,-0.910840814772715,-0.896718501105721
"TBP",0.0561926287386344,-0.0298092657104903,-0.0380212922170814,-0.0395192060221181
"TCF12",0.640832662107853,0.527031554201435,0.511305547753279,0.50219967603026
"TCF4",-0.783241090834517,-0.826870397208092,-0.823039081462127,-0.823185255954223
"TCF7L1",-1.11054326407589,-1.07655424748477,-1.06631229463578,-1.08007555474404
"TEAD4",1.82549723289754,1.66517048781996,1.64307405779572,1.64716230126897
"THAP11",-0.997720334828724,-0.96759368174143,-0.942736486373704,-0.943238180826325
"TP53",-1.10900950178992,-1.07369032450618,-1.08141991598505,-1.09172042399787
"TRIM28",1.54358697889439,1.62690157741903,1.60423875175314,1.57036679252914
"USF1",1.27703264808344,1.20002772734981,1.19108000012073,1.18929973395789
"USF2",-0.302401829132979,-0.347413716792512,-0.34795491349272,-0.349252849702499
"YY1",1.77418454670041,1.62654408180717,1.6191666830945,1.59467477268641
"ZFP42",-1.14172229281335,-1.10761529490076,-1.11352910473248,-1.09903388734232
"ZNF143",1.62017065003303,1.46461971095616,1.46437095504051,1.46776474109767
"ZNF274",-0.652194492282472,-0.862027381283071,-0.808771778875592,-0.793718808894745
"ZNF486",-0.679269185986544,-0.594777984693129,-0.589149092820444,-0.627572788278744
