"","Row.names","X","pct","mean_all","mean_threshold..4","mean_threshold..5","mean_threshold..6","peaknum","group"
"44","OTX2","OTX2",0.1698950014189,2.15615545633497,2.01297515011747,1.99780578789842,1.9888778676481,98668,"top"
"45","PHF8","PHF8",0.241772151898734,-0.689007433576,-0.661371738206451,-0.66978154253838,-0.670814441987091,21488,"mid"
"46","POLR2A","POLR2A",0.250834642867732,0.426873823428989,0.267703790329642,0.258703907591501,0.267290467014316,67454,"mid"
"47","POU5F1","POU5F1",0.168320457285759,-0.0844431330378522,-0.17080010335654,-0.17349140277832,-0.183095365756001,22393,"mid"
"48","PRDM1","PRDM1",0.0776389258176017,-0.935607932308793,-0.9520502156112,-0.953758601933588,-0.924861657656071,3761,"bott"
"49","PRDM14","PRDM14",0.14980608032028,-0.545516644053038,-0.561513158457113,-0.566093889423894,-0.562560407982432,15986,"mid"
"50","RAD21","RAD21",0.693761174779071,1.76586853165582,1.70202502883848,1.72025852486587,1.7294214020894,95777,"top"
"51","RBBP5","RBBP5",0.256651939126166,-0.196499112431871,-0.223201745996423,-0.229332268091156,-0.258694625414103,40740,"mid"
"52","REST","REST",0.262835023764026,0.324518968377522,0.242763670533149,0.236140643370496,0.23176644981206,40818,"mid"
"53","RFX5","RFX5",0.42882239094834,-0.826839595667443,-0.861483816698057,-0.841286510235029,-0.83571409190692,6717,"bott"
"54","RXRA","RXRA",0.517308755760369,-0.680426449962369,-0.697771259542796,-0.707616606819841,-0.697457994153041,10850,"mid"
"55","SAP30","SAP30",0.187571933366986,-0.531266282343066,-0.556769822132966,-0.556322041223842,-0.568067800482022,19810,"mid"
"56","SIN3A","SIN3A",0.456393003543956,0.4294572747562,0.282023610253682,0.27093666468191,0.273726426441862,61231,"mid"
"57","SIX5","SIX5",0.22620524104821,-0.947806782641251,-0.925676476750941,-0.910712691104187,-0.917701132671369,4999,"bott"
"58","SMAD1","SMAD1",0.237846961740435,-0.94840823178669,-0.929516367088501,-0.92557924549943,-0.930062470013112,5332,"bott"
"59","SMAD2","SMAD2",0.185369717042264,-0.539499147526401,-0.57157217829658,-0.578317030121348,-0.577703922788083,13889,"mid"
"60","SMAD3","SMAD3",0.224373333333333,-0.689899912470521,-0.702401643417046,-0.700329890404999,-0.691792809955505,11250,"mid"
"61","SMAD4","SMAD4",0.066008872571516,-0.478500423403069,-0.551623545516554,-0.548387389357603,-0.545763470828531,13074,"mid"
